,,,,,,,,,
"$ millions, unless otherwise indicated",2012,2013,2014,2015,2016,2017,2018,2019,2020
Commercial banks,..,..,..,..,..,..,..,..,..
Other private,..,..,..,..,..,..,..,..,..
Private nonguaranteed,3788.9,4837.3,5325.7,5798,6435.1,7223.2,6646.9,7128.9,7024
Bonds,265.9,813.3,1158.7,1469.2,1468.9,1723.4,1853.3,1930.4,1996
Commercial banks and other,3523,4024,4167,4328.8,4966.2,5499.8,4793.6,5198.5,5028
Memo:,,,,,,,,,
IBRD,220,149.3,140.9,109,104.2,113.8,132.4,169.2,129.1
IDA,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0
Net transfers on debt,15430.3,21609.3,23486.6,-14875,9222.9,7022.8,-10929.3,-22937.5,-23279
Public and publicly guaranteed,2744.2,2964.2,2321.1,-1860.8,1388,1364.9,144.9,-1164.4,-1620.9
Official creditors,1321.3,1419.7,1438.3,406.6,248,376.1,335.7,-550.7,-2170.4
Multilateral,1644.1,1403.2,1122.5,585.7,654.2,1.3,246.9,-1576.2,-1309.9
Concessional,159.5,23.3,-9.9,-8.9,-23.3,-38.7,11,11.8,77.7
Bilateral,-322.8,16.5,315.7,-179.1,-406.2,374.9,88.8,1025.5,-860.5
Concessional,85.8,1.5,25,-92.4,-110.3,-43.2,-65.5,-108.8,-131.6
Private creditors,1422.9,1544.5,882.9,-2267.4,1140,988.7,-190.8,-613.7,549.5
Bonds,2146.1,2670.7,2323.9,-1141.3,-723.8,2078.4,-874.7,482.5,398.7
Commercial banks,-533.5,-926.8,-1060.4,-842.2,1973.3,-927.9,742.2,-1065.9,155.3
Other private,-189.8,-199.4,-380.6,-283.8,-109.5,-161.8,-58.2,-30.3,-4.5
Public sector,2594.3,2960.2,2356.6,-1828,1436.3,1419.3,194.4,-1123.6,-1566.4
Official creditors,1171.4,1415.7,1473.7,439.4,296.2,430.5,385.2,-509.9,-2115.9
Multilateral,1494.3,1399.2,1158,618.5,702.5,55.7,296.4,-1535.4,-1255.4
Concessional,-6.5,-5.5,-4.4,-4.3,-3.2,-3.6,53.6,50.8,132.1
Bilateral,-322.8,16.5,315.7,-179.1,-406.2,374.9,88.8,1025.5,-860.5
Concessional,85.8,1.5,25,-92.4,-110.3,-43.2,-65.5,-108.8,-131.6
Private creditors,1422.9,1544.5,882.9,-2267.4,1140,988.7,-190.8,-613.7,549.5
Bonds,2146.1,2670.7,2323.9,-1141.3,-723.8,2078.4,-874.7,482.5,398.7
Commercial banks,-533.5,-926.8,-1060.4,-842.2,1973.3,-927.9,742.2,-1065.9,155.3
Other private,-189.8,-199.4,-380.6,-283.8,-109.5,-161.8,-58.2,-30.3,-4.5
General Government,520.9,512.3,-869.4,-4887.4,-1868.4,167.1,-2209.9,2229.9,-691.2
Official creditors,-6.8,464.4,236.2,-354.7,-437,-611.1,-241.6,-1103.8,-571.1
Multilateral,345.8,697.2,246.2,28,8.3,-494,43.8,-870.2,-408.6
Concessional,-6.5,-5.5,-4.4,-4.3,-3.2,-3.6,53.6,50.8,132.1
Bilateral,-352.6,-232.9,-10,-382.7,-445.3,-117.1,-285.3,-233.6,-162.5
Concessional,90,-8.2,5.2,-110.2,-134.6,-106.1,-142.5,-147.3,-143.7
Private creditors,527.7,47.9,-1105.6,-4532.6,-1431.4,778.2,-1968.4,3333.7,-120.1
Bonds,1419.3,1292.7,662.9,-3213.9,-838.4,1928.6,-1099.3,2617.7,-7.8
Commercial banks,-755.9,-1110.7,-1443.7,-1083.5,-506.2,-1002.2,-822.7,735,-107.8
Other private,-135.7,-134.1,-324.8,-235.2,-86.9,-148.2,-46.4,-19.1,-4.5
Other public sector,2376.1,2672.9,3335.5,3118.6,3302.3,1138.6,2383.1,-3364.3,-857.7
Official creditors,1178.2,951.4,1237.6,794.1,694.4,927.7,605,582.6,-1527.6
Multilateral,1148.5,702,911.8,590.6,655.3,435.7,230.9,-676.4,-829.6
Concessional,..,..,..,..,..,..,..,..,..
Bilateral,29.7,249.4,325.8,203.6,39.1,492,374.1,1259.1,-698.1
Concessional,-4.2,9.6,19.9,17.8,24.3,63,77,38.5,12.1
Private creditors,1197.8,1721.5,2098,2324.4,2608,210.9,1778,-3947,670
Bonds,726.8,1378,1660.9,2072.6,114.6,149.8,224.5,-2135.2,406.5
Commercial banks,525.1,408.9,492.7,300.4,2516.1,74.8,1565.4,-1800.6,263.5
Other private,-54.1,-65.3,-55.7,-48.6,-22.7,-13.6,-11.9,-11.2,..
Private sector guaranteed by public sector,149.9,4,-35.5,-32.9,-48.3,-54.4,-49.5,-40.8,-54.4
Official creditors,149.9,4,-35.5,-32.9,-48.3,-54.4,-49.5,-40.8,-54.4
Multilateral,149.9,4,-35.5,-32.9,-48.3,-54.4,-49.5,-40.8,-54.4
Concessional,166,28.8,-5.5,-4.5,-20.1,-35.1,-42.6,-39,-54.4
Bilateral,..,..,..,..,..,..,..,..,..
Concessional,..,..,..,..,..,..,..,..,..
Private creditors,..,..,..,..,..,..,..,..,..
Bonds,..,..,..,..,..,..,..,..,..
Commercial banks,..,..,..,..,..,..,..,..,..
Other private,..,..,..,..,..,..,..,..,..
Private nonguaranteed,12686.1,18645.2,21165.5,-13014.2,7834.9,5657.9,-11074.3,-21773.1,-21658.2
Bonds,6295.1,5856.2,5975.5,-952.4,-193.5,1565.8,-3289.6,-3818.1,-6583
Commercial banks and other,6391,12789,15190,-12061.7,8028.4,4092.1,-7784.7,-17954.9,-15075.1
Memo:,,,,,,,,,
IBRD,544.7,306.9,-110.4,-370.9,-745.2,74.4,-124.3,-338.4,-225.6
IDA,-6.1,-5.1,-4.6,-3.7,-3.1,-3.1,-3.1,-2.6,-2.6
Debt service,49877,56312.3,51410,52171.9,72537.2,81295,79497.7,81832.5,81339.9
Public and publicly guaranteed,10453.1,9628.9,11747.3,10928,12936.2,16213.7,15698.8,18390.5,18012.8
Official creditors,2389.3,2373.8,2684.2,2391,3010.4,3727.5,3070.4,3572.5,5482.3
Multilateral,1745.2,1783.4,2087.1,1822.3,2356.6,3139.1,2403.7,2876.5,2910.7
Concessional,12.4,12.1,10.5,8.9,23.7,38.7,46.1,42.1,57.5
Bilateral,644.1,590.5,597.1,568.7,653.8,588.4,666.7,696,2571.6
Concessional,146.5,141,149.7,168.2,200.5,189,190.4,185,178.4
Private creditors,8063.8,7255.1,9063.1,8537,9925.8,12486.2,12628.4,14817.9,12530.5
Bonds,5781.1,4942.6,6719.8,6391.1,8222.1,9194.3,9108.7,11167,10371
Commercial banks,2058.9,2074.6,1962.8,1862.1,1594.1,3130,3461.4,3620.6,2155
Other private,223.8,237.9,380.6,283.8,109.5,161.8,58.2,30.3,4.5
Public sector,10431,9597.5,11711.8,10895.2,12888,16159.3,15649.3,18349.6,17958.3
Official creditors,2367.2,2342.4,2648.7,2358.1,2962.2,3673.1,3020.9,3531.7,5427.9
Multilateral,1723.1,1752,2051.7,1789.5,2308.3,3084.7,2354.2,2835.7,2856.3
Concessional,6.5,5.5,4.9,4.3,3.6,3.6,3.6,3.1,3.1
Bilateral,644.1,590.5,597.1,568.7,653.8,588.4,666.7,696,2571.6
Concessional,146.5,141,149.7,168.2,200.5,189,190.4,185,178.4
Private creditors,8063.8,7255.1,9063.1,8537,9925.8,12486.2,12628.4,14817.9,12530.5
Bonds,5781.1,4942.6,6719.8,6391.1,8222.1,9194.3,9108.7,11167,10371
Commercial banks,2058.9,2074.6,1962.8,1862.1,1594.1,3130,3461.4,3620.6,2155
Other private,223.8,237.9,380.6,283.8,109.5,161.8,58.2,30.3,4.5
General Government,9455.5,8524.9,10470,9637.9,9010.6,11878.6,11676.8,11192.8,11512.6
Official creditors,1884.5,1792.8,1826.5,1633.3,1640.6,2497.9,1543.7,1875.8,1621.3
Multilateral,1271.5,1238.3,1288.8,1131.8,1079.7,2024.7,1065.4,1444.5,1181.6
Concessional,6.5,5.5,4.9,4.3,3.6,3.6,3.6,3.1,3.1
Bilateral,613,554.5,537.7,501.5,560.9,473.1,478.3,431.3,439.8
Concessional,142.1,136.4,147.8,167.2,199.9,188.1,183,177.3,170.5
Private creditors,7570.9,6732,8643.5,8004.6,7370,9380.7,10133.1,9317,9891.3
Bonds,5738.6,4820.6,6571.3,6193.9,6340,7736.1,8833.3,8531.8,9277.5
Commercial banks,1662.6,1738.8,1747.3,1575.4,943.2,1496.4,1253.5,766.1,609.3
Other private,169.7,172.6,324.8,235.2,86.9,148.2,46.4,19.1,4.5
Other public sector,673,847.7,1132.4,1198.1,3839.6,4278.9,3967.5,7149.4,6428.1
Official creditors,482.7,549.6,822.3,724.8,1320.4,1173.9,1472.7,1648.9,3789.3
Multilateral,451.6,513.7,762.9,657.7,1227.5,1058.6,1284.2,1384.2,1657.5
Concessional,..,..,..,..,..,..,..,..,..
Bilateral,31.1,35.9,59.4,67.1,92.9,115.3,188.5,264.7,2131.8
Concessional,4.5,4.6,1.9,1,0.7,0.9,7.4,7.8,7.9
Private creditors,190.3,298.1,310.1,473.2,2519.2,3105,2494.9,5500.5,2638.8
Bonds,42.5,122,148.4,197.2,1882.2,1458.3,275.5,2635.2,1093.5
Commercial banks,93.7,110.7,106,227.5,614.4,1633.2,2207.5,2854.1,1545.3
Other private,54.1,65.3,55.7,48.6,22.7,13.6,11.9,11.2,..
Private sector guaranteed by public sector,22.1,31.4,35.5,32.9,48.3,54.4,49.5,40.8,54.4
Official creditors,22.1,31.4,35.5,32.9,48.3,54.4,49.5,40.8,54.4
Multilateral,22.1,31.4,35.5,32.9,48.3,54.4,49.5,40.8,54.4
Concessional,5.9,6.5,5.5,4.5,20.1,35.1,42.6,39,54.4
Bilateral,..,..,..,..,..,..,..,..,..
Concessional,..,..,..,..,..,..,..,..,..
Private creditors,..,..,..,..,..,..,..,..,..
Bonds,..,..,..,..,..,..,..,..,..
Commercial banks,..,..,..,..,..,..,..,..,..
Other private,..,..,..,..,..,..,..,..,..
Private nonguaranteed,39423.9,46683.3,39662.7,41243.9,59601,65081.3,63798.8,63442,63327.1
Bonds,669.9,2778.3,2073.7,3862.7,3446.8,5463.7,6344.6,6918.1,8983
Commercial banks and other,38754,43905,37589,37381.2,56154.2,59617.6,57454.2,56523.9,54344.1
Memo:,,,,,,,,,
IBRD,969,946.8,969.8,860.3,1283,1266.1,756.7,713.6,760.1
IDA,6.1,5.1,4.6,3.7,3.1,3.1,3.1,2.6,2.6
6. Currency composition of public and publicly guaranteed debt (%),,,,,,,,,
Euro,25.3,27.5,25.5,24.2,24,24.3,24.5,23.3,21.5
Japanese yen,6.9,5.4,5.5,5.5,5.5,5.6,5.5,5.1,4.5
U.S. dollars,66.8,66.1,68,69.4,69.7,69.5,69.6,71.2,73.8
SDR,0,0,0,0,0,0,0,0,0
All other currencies,0.8,0.8,0.8,0.7,0.6,0.5,0.3,0.2,0.1
7. Average terms of new commitments (public and publicly guaranteed),,,,,,,,,
All creditors,,,,,,,,,
Interest (%),4.1,3.1,3.6,2.4,3.5,4.6,4.8,4.9,4.2
Maturity (years),13.1,13.9,14.1,13.4,11.7,12.2,9.1,6.7,7.6
Grace period (years),10.8,8.7,10,8.6,8.2,11,5.6,4.7,5.4
Grant element (%),4.3,13.5,9.7,14.8,6.3,-0.4,-0.1,-0.8,3.4
Official Creditors,,,,,,,,,
Interest (%),2.1,1.5,1.3,1.1,1.3,1.7,3.8,2.1,1.8
Maturity (years),13.9,17.2,19.3,15.4,16.2,11.5,18.6,10.1,10.5
Grace period (years),4.8,3.7,6.4,4.4,4.8,2.3,3.8,2.7,3.4
Grant element (%),20.3,25.6,32.2,28.9,26.2,19.7,10.9,15.4,18.4
Private Creditors,,,,,,,,,
Interest (%),4.7,4,4.6,3.2,4.2,5,5,5.6,5.1
Maturity (years),12.8,12,11.8,12.2,10.2,12.2,6.6,5.8,6.5
Grace period (years),12.6,11.5,11.6,11.3,9.4,12.2,6.1,5.2,6.2
Grant element (%),-0.7,6.7,-0.1,5.8,-0.3,-3.2,-3,-4.8,-2.1
Memorandum Items,,,,,,,,,
Commitments,12429.5,12590.6,14404.9,10095,14516.5,15642,15223.8,18552.1,17364.1
Official creditors,2968.3,4529.2,4369.6,3935.8,3639.4,1936.1,3160.8,3665.2,4730
Multilateral,2843.3,4176.8,3327.8,3028.2,2975.4,1536.1,2583.2,1715.9,3372.9
Bilateral,125,352.4,1041.9,907.5,664,400,577.5,1949.4,1357.1
Private creditors,9461.2,8061.5,10035.2,6159.2,10877.1,13705.9,12063,14886.8,12634
Table: Country Tables,,,,,,,,,
Name: Turkey,,,,,,,,,
"International Debt Statistics, 2022, The World Bank",,,,,,,,,
Last Updated Date: 01/14/2022,,,,,,,,,
