,,,,,,,,,
"$ millions, unless otherwise indicated",2012,2013,2014,2015,2016,2017,2018,2019,2020
Multilateral,127.3,192,148,153.1,228.4,208.8,274.2,354.7,458.2
Concessional,89.9,162.1,129,131.5,199.4,155.4,175.2,193.8,211.4
Bilateral,90.6,104.1,70.3,195.2,62.6,71.5,156.7,248.5,257.2
Concessional,..,..,1,140.1,3.1,4.3,15,27.4,39.8
Private creditors,33.8,97.2,45.8,48.8,63.8,63.8,1003.4,787.8,841.3
Bonds,33.8,97.2,45.8,48.8,63.8,63.8,1003.4,787.8,841.3
Commercial banks,..,..,..,..,..,..,..,..,..
Other private,..,..,..,..,..,..,..,..,..
Public sector,251.7,393.3,264,397.1,354.7,344,1434.3,1391.1,1556.8
Official creditors,218,296.1,218.3,348.4,291,280.2,430.9,603.2,715.4
Multilateral,127.3,192,148,153.1,228.4,208.8,274.2,354.7,458.2
Concessional,89.9,162.1,129,131.5,199.4,155.4,175.2,193.8,211.4
Bilateral,90.6,104.1,70.3,195.2,62.6,71.5,156.7,248.5,257.2
Concessional,..,..,1,140.1,3.1,4.3,15,27.4,39.8
Private creditors,33.8,97.2,45.8,48.8,63.8,63.8,1003.4,787.8,841.3
Bonds,33.8,97.2,45.8,48.8,63.8,63.8,1003.4,787.8,841.3
Commercial banks,..,..,..,..,..,..,..,..,..
Other private,..,..,..,..,..,..,..,..,..
General Government,251.7,393.3,263.8,396.2,353,341.9,1431.8,1388.1,1553.7
Official creditors,218,296.1,218.1,347.4,289.2,278.2,428.5,600.3,712.4
Multilateral,127.3,192,147.8,152.2,226.6,206.7,271.7,351.7,455.2
Concessional,89.9,162.1,128.8,130.6,197.6,153.3,172.8,190.8,208.3
Bilateral,90.6,104.1,70.3,195.2,62.6,71.5,156.7,248.5,257.2
Concessional,..,..,1,140.1,3.1,4.3,15,27.4,39.8
Private creditors,33.8,97.2,45.8,48.8,63.8,63.8,1003.4,787.8,841.3
Bonds,33.8,97.2,45.8,48.8,63.8,63.8,1003.4,787.8,841.3
Commercial banks,..,..,..,..,..,..,..,..,..
Other private,..,..,..,..,..,..,..,..,..
Other public sector,..,..,0.2,0.9,1.8,2.1,2.5,3,3
Official creditors,..,..,0.2,0.9,1.8,2.1,2.5,3,3
Multilateral,..,..,0.2,0.9,1.8,2.1,2.5,3,3
Concessional,..,..,0.2,0.9,1.8,2.1,2.5,3,3
Bilateral,..,..,..,..,..,..,..,..,..
Concessional,..,..,..,..,..,..,..,..,..
Private creditors,..,..,..,..,..,..,..,..,..
Bonds,..,..,..,..,..,..,..,..,..
Commercial banks,..,..,..,..,..,..,..,..,..
Other private,..,..,..,..,..,..,..,..,..
Private sector guaranteed by public sector,..,..,..,..,..,..,..,..,..
Official creditors,..,..,..,..,..,..,..,..,..
Multilateral,..,..,..,..,..,..,..,..,..
Concessional,..,..,..,..,..,..,..,..,..
Bilateral,..,..,..,..,..,..,..,..,..
Concessional,..,..,..,..,..,..,..,..,..
Private creditors,..,..,..,..,..,..,..,..,..
Bonds,..,..,..,..,..,..,..,..,..
Commercial banks,..,..,..,..,..,..,..,..,..
Other private,..,..,..,..,..,..,..,..,..
Private nonguaranteed,1084.7,99.1,4280.5,1203.6,2135,3184.9,3931.8,3716.9,3961.2
Bonds,50.2,99.1,140.7,192.9,869.6,902.8,1811.7,1418.3,1560.6
Commercial banks and other,1034.5,..,4139.8,1010.7,1265.4,2282,2120.2,2298.6,2400.6
Memo:,,,,,,,,,
IBRD,7,..,..,1.3,0.1,0.9,4.1,8.4,12.7
IDA,78.7,145.2,109.8,119.4,193.1,151.6,178,230.6,305.2
6. Currency composition of public and publicly guaranteed debt (%),,,,,,,,,
Euro,2,1.4,1,0.8,0.7,0.4,0.3,0.3,0.8
Japanese yen,0,0,0,0.6,0.6,0.4,0.3,0.3,0.3
U.S. dollars,77.6,78.1,81.9,80.6,82.3,84.2,87.6,88.1,87.3
SDR,13.2,11.3,9.1,7.7,7,4.5,3.3,3,2.9
All other currencies,6.7,8.8,7.6,9.9,9.1,10.3,8.3,8.2,8.7
7. Average terms of new commitments (public and publicly guaranteed),,,,,,,,,
All creditors,,,,,,,,,
Interest (%),1.9,2.2,1.4,1.2,1.5,4.7,6.5,1.7,1.9
Maturity (years),30.2,26.6,26.7,23.6,21.8,19.9,18.1,25.1,27.5
Grace period (years),8.1,6.3,6.1,5.5,5.5,12,13.3,4.9,5.3
Grant element (%),36.5,32.8,38.1,37.2,31.9,1,-16.6,31.2,32.7
Official Creditors,,,,,,,,,
Interest (%),1.9,1.3,1.4,1.2,1.5,2,2.4,1.7,1.9
Maturity (years),30.2,30.6,26.7,23.6,21.8,22.4,25,25.1,27.5
Grace period (years),8.1,6.1,6.1,5.5,5.5,6.1,6.4,4.9,5.3
Grant element (%),36.5,41.4,38.1,37.2,31.9,29.1,25.7,31.2,32.7
Private Creditors,,,,,,,,,
Interest (%),0,6.3,0,0,0,7.2,8,0,0
Maturity (years),0,7.5,0,0,0,17.5,15.7,0,0
Grace period (years),0,7.5,0,0,0,17.5,15.7,0,0
Grant element (%),0,-8.6,0,0,0,-25.7,-31.2,0,0
Memorandum Items,,,,,,,,,
Commitments,1000,5798.4,1671.3,2312.9,1925.4,9368,7220.1,3392.7,3886.4
Official creditors,1000,4798.4,1671.3,2312.9,1925.4,4568,1851.7,3392.7,3886.4
Multilateral,422.2,3140,1067.3,2049.8,1553.5,2621.8,889,2315.7,3618.2
Bilateral,577.7,1658.4,603.9,263.2,371.9,1946.1,962.7,1077,268.2
Private creditors,..,1000,..,..,..,4800,5368.4,..,..
Table: Country Tables,,,,,,,,,
Name: Nigeria,,,,,,,,,
"International Debt Statistics, 2022, The World Bank",,,,,,,,,
Last Updated Date: 01/14/2022,,,,,,,,,
