,,,,,,,,,
"$ millions, unless otherwise indicated",2012,2013,2014,2015,2016,2017,2018,2019,2020
IDA,16.6,16.1,15.7,13.2,12.2,10.6,10.2,8.2,6.4
Net transfers on debt,28826.3,9719,10469.6,8487.9,4517.7,21137,18478.2,14339.9,-436
Public and publicly guaranteed,19014.2,1757.9,-182.3,13034.6,10681.1,9190.5,13678.9,10554,3004.8
Official creditors,-3298.5,-2173.6,-3136,-179.1,-1502.4,-1990.5,168.8,-2313,2934.6
Multilateral,-117.3,-503.1,-310.6,2253.9,1130.7,129.8,1011.7,380.8,1477.4
Concessional,-102.8,-216.5,-252.1,-265.3,-309.9,-295.6,-286.8,-214.9,-213.6
Bilateral,-3181.3,-1670.5,-2825.4,-2433,-2633.1,-2120.3,-843,-2693.8,1457.2
Concessional,253,117.6,-11.2,-64.9,-110.2,-129.3,-113,-261,423.4
Private creditors,22312.7,3931.5,2953.7,13213.7,12183.6,11181,13510.1,12866.9,70.2
Bonds,23470.7,4445.8,-312.8,10248.8,13533.8,14997.3,10553.2,16186.2,723.9
Commercial banks,-799.5,-180.6,677.4,-338.3,-670.7,-488.9,4045.4,-1508.3,-135.8
Other private,-358.5,-333.7,2589.1,3303.2,-679.5,-3327.3,-1088.5,-1811,-517.9
Public sector,19014.2,1757.9,-182.3,13034.6,10681.1,9190.5,13678.9,10554,3004.8
Official creditors,-3298.5,-2173.6,-3136,-179.1,-1502.4,-1990.5,168.8,-2313,2934.6
Multilateral,-117.3,-503.1,-310.6,2253.9,1130.7,129.8,1011.7,380.8,1477.4
Concessional,-102.8,-216.5,-252.1,-265.3,-309.9,-295.6,-286.8,-214.9,-213.6
Bilateral,-3181.3,-1670.5,-2825.4,-2433,-2633.1,-2120.3,-843,-2693.8,1457.2
Concessional,253,117.6,-11.2,-64.9,-110.2,-129.3,-113,-261,423.4
Private creditors,22312.7,3931.5,2953.7,13213.7,12183.6,11181,13510.1,12866.9,70.2
Bonds,23470.7,4445.8,-312.8,10248.8,13533.8,14997.3,10553.2,16186.2,723.9
Commercial banks,-799.5,-180.6,677.4,-338.3,-670.7,-488.9,4045.4,-1508.3,-135.8
Other private,-358.5,-333.7,2589.1,3303.2,-679.5,-3327.3,-1088.5,-1811,-517.9
General Government,17187.1,-585.4,-3814.5,10357.4,13045.5,13208.3,2090.1,9490.6,-1291.8
Official creditors,-2966.6,-1976.1,-2824.3,147,-1181.3,-1680.6,467.5,-2025.4,2934.6
Multilateral,-117.3,-503.1,-310.6,2253.9,1130.7,129.8,1011.7,380.8,1477.4
Concessional,-102.8,-216.5,-252.1,-265.3,-309.9,-295.6,-286.8,-214.9,-213.6
Bilateral,-2849.4,-1473,-2513.7,-2106.9,-2312,-1810.4,-544.2,-2406.2,1457.2
Concessional,253,117.6,-11.2,-64.9,-110.2,-129.3,-113,-261,423.4
Private creditors,20153.7,1390.7,-990.1,10210.3,14226.8,14888.8,1622.5,11515.9,-4226.4
Bonds,20592.1,1238,-1598.8,10275.5,14374.4,15273.7,2062.8,11777.1,-4616.7
Commercial banks,-365.6,213,667.5,-49.4,-178.1,-335.4,-400.1,-219.7,354
Other private,-72.8,-60.3,-58.9,-15.8,30.4,-49.5,-40.2,-41.4,36.3
Other public sector,1967.9,2457.1,3655.8,2713,-2313.8,-3967.3,11638.5,1112.2,4296.6
Official creditors,-331.9,-197.5,-311.6,-326.1,-321.1,-310,-298.8,-287.6,..
Multilateral,..,..,..,..,..,..,..,..,..
Concessional,..,..,..,..,..,..,..,..,..
Bilateral,-331.9,-197.5,-311.6,-326.1,-321.1,-310,-298.8,-287.6,..
Concessional,..,..,..,..,..,..,..,..,..
Private creditors,2299.8,2654.6,3967.4,3039.1,-1992.7,-3657.3,11937.3,1399.9,4296.6
Bonds,2878.6,3207.8,1285.9,-26.7,-840.6,-276.4,8490.4,4409.1,5340.6
Commercial banks,-293.1,-279.8,33.5,-253.2,-442.1,-103,4495.3,-1239.7,-489.9
Other private,-285.7,-273.4,2648,3319,-710,-3277.9,-1048.3,-1769.5,-554.2
Private sector guaranteed by public sector,..,..,..,..,..,..,..,..,..
Official creditors,..,..,..,..,..,..,..,..,..
Multilateral,..,..,..,..,..,..,..,..,..
Concessional,..,..,..,..,..,..,..,..,..
Bilateral,..,..,..,..,..,..,..,..,..
Concessional,..,..,..,..,..,..,..,..,..
Private creditors,..,..,..,..,..,..,..,..,..
Bonds,..,..,..,..,..,..,..,..,..
Commercial banks,..,..,..,..,..,..,..,..,..
Other private,..,..,..,..,..,..,..,..,..
Private nonguaranteed,9812.1,7961.1,10651.9,-4546.8,-6163.5,11946.5,4799.4,3786,-3440.8
Bonds,-1242.1,949.2,-732.9,-246.8,-2169.8,2.6,-287.3,538.1,623.8
Commercial banks and other,11054.2,7011.9,11384.8,-4300,-3993.7,11943.9,5086.7,3247.9,-4064.6
Memo:,,,,,,,,,
IBRD,482.7,616,602.7,1953.8,1080.4,410.8,273.1,192.9,198.1
IDA,-95.3,-122.9,-126.9,-147.7,-170,-168.3,-183.1,-198.2,-197.8
Debt service,36804.9,40857.7,59487.8,59486.3,63565,57478.6,53608.1,80438.6,66107.9
Public and publicly guaranteed,9856.5,11581.9,28346.8,14226.8,15987.7,18344,17381.1,21102.2,27829.3
Official creditors,6494.5,6054.9,6273.6,5456.2,5784,5512.8,5945.3,6816.1,6264.8
Multilateral,2162.7,2304.6,1954.9,1625.7,1838.5,1915.7,2404.5,3301.1,3213.5
Concessional,190.6,251.4,257.7,272.9,312.7,295.6,301.8,283.1,275.4
Bilateral,4331.8,3750.2,4318.8,3830.4,3945.5,3597.1,3540.8,3515,3051.3
Concessional,465.8,444.4,504,508.6,590.4,616.2,638.4,650.1,680.8
Private creditors,3362.1,5527.1,22073.2,8770.6,10203.7,12831.2,11435.8,14286.1,21564.5
Bonds,1993.1,4201.2,20903.7,6154.3,5469.7,8101,7931.4,10250,18472.1
Commercial banks,1010.4,992.2,849.5,919.8,1208.8,1282.2,1270.6,2225.1,2501
Other private,358.5,333.7,319.9,1696.5,3525.2,3448,2233.8,1811,591.4
Public sector,9856.5,11581.9,28346.8,14226.8,15987.7,18344,17381.1,21102.2,27829.3
Official creditors,6494.5,6054.9,6273.6,5456.2,5784,5512.8,5945.3,6816.1,6264.8
Multilateral,2162.7,2304.6,1954.9,1625.7,1838.5,1915.7,2404.5,3301.1,3213.5
Concessional,190.6,251.4,257.7,272.9,312.7,295.6,301.8,283.1,275.4
Bilateral,4331.8,3750.2,4318.8,3830.4,3945.5,3597.1,3540.8,3515,3051.3
Concessional,465.8,444.4,504,508.6,590.4,616.2,638.4,650.1,680.8
Private creditors,3362.1,5527.1,22073.2,8770.6,10203.7,12831.2,11435.8,14286.1,21564.5
Bonds,1993.1,4201.2,20903.7,6154.3,5469.7,8101,7931.4,10250,18472.1
Commercial banks,1010.4,992.2,849.5,919.8,1208.8,1282.2,1270.6,2225.1,2501
Other private,358.5,333.7,319.9,1696.5,3525.2,3448,2233.8,1811,591.4
General Government,8183.6,10179.2,26769.9,9803.1,10857.2,11481.3,13731.5,16459,22646.8
Official creditors,6162.6,5857.3,5962,5130.1,5462.8,5202.9,5646.6,6528.5,6264.8
Multilateral,2162.7,2304.6,1954.9,1625.7,1838.5,1915.7,2404.5,3301.1,3213.5
Concessional,190.6,251.4,257.7,272.9,312.7,295.6,301.8,283.1,275.4
Bilateral,3999.9,3552.7,4007.2,3504.3,3624.3,3287.2,3242,3227.4,3051.3
Concessional,465.8,444.4,504,508.6,590.4,616.2,638.4,650.1,680.8
Private creditors,2021,4321.9,20807.9,4673,5394.4,6278.5,8085,9930.5,16382
Bonds,1371.7,3663,20189.6,3991.8,4629,5324.6,7081.1,8952.5,15462.7
Commercial banks,576.5,598.6,559.4,630.9,716.2,904.4,963.7,936.6,882
Other private,72.8,60.3,58.9,50.3,49.1,49.5,40.2,41.4,37.2
Other public sector,1532.1,1288.9,1553.2,4388.1,5079.9,6812.2,3599.8,4594.3,5182.5
Official creditors,331.9,197.5,311.6,326.1,321.1,310,298.8,287.6,..
Multilateral,..,..,..,..,..,..,..,..,..
Concessional,..,..,..,..,..,..,..,..,..
Bilateral,331.9,197.5,311.6,326.1,321.1,310,298.8,287.6,..
Concessional,..,..,..,..,..,..,..,..,..
Private creditors,1200.2,1091.3,1241.6,4061.9,4758.8,6502.3,3301,4306.7,5182.5
Bonds,621.4,538.2,714.1,2162.5,840.6,2776.4,850.2,1297.5,3009.4
Commercial banks,293.1,279.8,266.5,253.2,442.1,327.3,257.2,1239.7,1618.9
Other private,285.7,273.4,261,1646.2,3476.1,3398.6,2193.6,1769.5,554.2
Private sector guaranteed by public sector,..,..,..,..,..,..,..,..,..
Official creditors,..,..,..,..,..,..,..,..,..
Multilateral,..,..,..,..,..,..,..,..,..
Concessional,..,..,..,..,..,..,..,..,..
Bilateral,..,..,..,..,..,..,..,..,..
Concessional,..,..,..,..,..,..,..,..,..
Private creditors,..,..,..,..,..,..,..,..,..
Bonds,..,..,..,..,..,..,..,..,..
Commercial banks,..,..,..,..,..,..,..,..,..
Other private,..,..,..,..,..,..,..,..,..
Private nonguaranteed,26948.4,29275.8,31141,45259.5,47577.3,39134.5,36226.9,59336.4,38278.6
Bonds,2712,1640.8,1948.1,1388.6,3368.5,7191.9,2883.3,2263.9,2631.2
Commercial banks and other,24236.4,27635,29193,43870.9,44208.8,31942.6,33343.6,57072.5,35647.4
Memo:,,,,,,,,,
IBRD,716.3,588.2,532.7,478.5,531,638.9,1013.7,1465.2,1441.3
IDA,120.7,127.6,126.9,147.7,170,168.3,183.1,198.2,197.8
6. Currency composition of public and publicly guaranteed debt (%),,,,,,,,,
Euro,4.6,4.5,4.3,4.1,5.2,5.5,5.5,4.8,5.4
Japanese yen,22.1,17.4,12.8,11.1,10,8.7,7.5,6.1,5.8
U.S. dollars,70,75.3,80.7,83.2,83.6,84.8,86.2,88.5,87.8
SDR,0.7,0.7,0.5,0.4,0.4,0.4,0.3,0.3,0.2
All other currencies,0.9,0.9,0.7,0.6,0.5,0.5,0.4,0.3,0.8
7. Average terms of new commitments (public and publicly guaranteed),,,,,,,,,
All creditors,,,,,,,,,
Interest (%),4.2,3.9,3.9,3.6,3.6,4.4,4.3,4.6,3.2
Maturity (years),19.5,15.7,14.1,18.1,15,24.4,17.8,22.7,26.9
Grace period (years),17.4,11.4,12,14.9,12.7,21.2,14.7,14.2,24.4
Grant element (%),1.8,9.8,-0.3,5,8,2.7,1.5,-2,16.8
Official Creditors,,,,,,,,,
Interest (%),2,2.7,1.6,1.4,1.7,2.3,2.3,2.7,1
Maturity (years),12.1,17.5,16.8,21.6,16.7,21.5,17.6,15.2,14.1
Grace period (years),3.7,5.7,5.9,5.7,5.2,6.6,5.9,4.9,4.9
Grant element (%),17.9,24.4,28.7,34.1,25.9,23.1,22.3,17.2,28.2
Private Creditors,,,,,,,,,
Interest (%),4.8,4.4,4.2,4,4,4.9,4.7,4.9,4
Maturity (years),21.9,15,13.7,17.6,14.7,25.2,17.9,23.6,31.3
Grace period (years),21.7,13.9,12.8,16.5,14.5,24.9,16.9,15.4,31
Grant element (%),-3.3,3.5,-4.4,0.2,3.8,-2.4,-3.5,-4.5,12.9
Memorandum Items,,,,,,,,,
Commitments,34468.3,15759.4,31451.9,26430.7,23982.2,30401.6,29323.9,35004.8,27845
Official creditors,8232.5,4729.8,3854.8,3778.7,4564.7,6066.1,5667.5,4051.3,7071.4
Multilateral,4493,2760.7,2078.7,1875,3474.4,3855.2,3689.9,2926.2,5783.6
Bilateral,3739.6,1969.1,1776,1903.7,1090.3,2210.9,1977.6,1125.1,1287.8
Private creditors,26235.7,11029.6,27597.1,22652,19417.5,24335.5,23656.4,30953.5,20773.6
Table: Country Tables,,,,,,,,,
Name: Indonesia,,,,,,,,,
"International Debt Statistics, 2022, The World Bank",,,,,,,,,
Last Updated Date: 01/14/2022,,,,,,,,,
